feature,hit_mean,miss_mean,delta,ratio
pct_chg,4.12478,-0.04164,4.16642,-99.055
vol_ratio_5,1.42026,1.05851,0.36174,1.342
vol_ratio_10,1.53006,1.05358,0.47648,1.452
amplitude_pct,5.83439,3.55454,2.27985,1.641
pos_ma20,0.08772,-0.00096,0.08868,-91.265
pos_ma60,0.12669,-0.00013,0.12682,-959.241
dist_high60,-0.11017,-0.15649,0.04631,0.704
dist_low60,0.40806,0.18522,0.22284,2.203
amount_yi,5.54232,2.8233,2.71903,1.963
ret_5,0.08967,0.00051,0.08915,174.611
ret_10,0.11095,0.00196,0.10899,56.533
prev_limit_up,0.12272,0.01521,0.10751,8.069
limit_streak_prev,0.2253,0.02036,0.20494,11.064
up_days_5,3.00897,2.35887,0.65009,1.276
index_ret_prev,0.0074,0.00018,0.00722,40.746
industry_mean_prev,2.36429,-0.0069,2.37118,-342.788
